"ALA     ","N       ","N       "," -0.4157","GROUP1 1"
"ALA     ","H       ","H       ","  0.2719","GROUP1 1"
"ALA     ","CA      ","CT      ","  0.0337","GROUP1 1"
"ALA     ","HA      ","H1      ","  0.0823","GROUP1 1"
"ALA     ","CB      ","CT      "," -0.1825","GROUP1 1"
"ALA     ","HB1     ","HC      ","  0.0603","GROUP1 1"
"ALA     ","HB2     ","HC      ","  0.0603","GROUP1 1"
"ALA     ","HB3     ","HC      ","  0.0603","GROUP1 1"
"ALA     ","C       ","C       ","  0.5973","GROUP1 1"
"ALA     ","O       ","O       "," -0.5679","GROUP1 1"
"GLY     ","N       ","N       "," -0.4157","GROUP1 1"
"GLY     ","H       ","H       ","  0.2719","GROUP1 1"
"GLY     ","CA      ","CT      "," -0.0252","GROUP1 1"
"GLY     ","HA2     ","H1      ","  0.0698","GROUP1 1"
"GLY     ","HA3     ","H1      ","  0.0698","GROUP1 1"
"GLY     ","C       ","C       ","  0.5973","GROUP1 1"
"GLY     ","O       ","O       "," -0.5679","GROUP1 1"
"SER     ","N       ","N       "," -0.4157","GROUP1 1"
"SER     ","H       ","H       ","  0.2719","GROUP1 1"
"SER     ","CA      ","CT      "," -0.0249","GROUP1 1"
"SER     ","HA      ","H1      ","  0.0843","GROUP1 1"
"SER     ","CB      ","CT      ","  0.2117","GROUP1 1"
"SER     ","HB2     ","H1      ","  0.0352","GROUP1 1"
"SER     ","HB3     ","H1      ","  0.0352","GROUP1 1"
"SER     ","OG      ","OH      "," -0.6546","GROUP1 1"
"SER     ","HG      ","HO      ","  0.4275","GROUP1 1"
"SER     ","C       ","C       ","  0.5973","GROUP1 1"
"SER     ","O       ","O       "," -0.5679","GROUP1 1"
"THR     ","N       ","N       "," -0.4157","GROUP1 1"
"THR     ","H       ","H       ","  0.2719","GROUP1 1"
"THR     ","CA      ","CT      "," -0.0389","GROUP1 1"
"THR     ","HA      ","H1      ","  0.1007","GROUP1 1"
"THR     ","CB      ","CT      ","  0.3654","GROUP1 1"
"THR     ","HB      ","H1      ","  0.0043","GROUP1 1"
"THR     ","CG2     ","CT      "," -0.2438","GROUP1 1"
"THR     ","HG21    ","HC      ","  0.0642","GROUP1 1"
"THR     ","HG22    ","HC      ","  0.0642","GROUP1 1"
"THR     ","HG23    ","HC      ","  0.0642","GROUP1 1"
"THR     ","OG1     ","OH      "," -0.6761","GROUP1 1"
"THR     ","HG1     ","HO      ","  0.4102","GROUP1 1"
"THR     ","C       ","C       ","  0.5973","GROUP1 1"
"THR     ","O       ","O       "," -0.5679","GROUP1 1"
"LEU     ","N       ","N       "," -0.4157","GROUP1 1"
"LEU     ","H       ","H       ","  0.2719","GROUP1 1"
"LEU     ","CA      ","CT      "," -0.0518","GROUP1 1"
"LEU     ","HA      ","H1      ","  0.0922","GROUP1 1"
"LEU     ","CB      ","CT      "," -0.1102","GROUP1 1"
"LEU     ","HB2     ","HC      ","  0.0457","GROUP1 1"
"LEU     ","HB3     ","HC      ","  0.0457","GROUP1 1"
"LEU     ","CG      ","CT      ","  0.3531","GROUP1 1"
"LEU     ","HG      ","HC      "," -0.0361","GROUP1 1"
"LEU     ","CD1     ","CT      "," -0.4121","GROUP1 1"
"LEU     ","HD11    ","HC      ","  0.1000","GROUP1 1"
"LEU     ","HD12    ","HC      ","  0.1000","GROUP1 1"
"LEU     ","HD13    ","HC      ","  0.1000","GROUP1 1"
"LEU     ","CD2     ","CT      "," -0.4121","GROUP1 1"
"LEU     ","HD21    ","HC      ","  0.1000","GROUP1 1"
"LEU     ","HD22    ","HC      ","  0.1000","GROUP1 1"
"LEU     ","HD23    ","HC      ","  0.1000","GROUP1 1"
"LEU     ","C       ","C       ","  0.5973","GROUP1 1"
"LEU     ","O       ","O       "," -0.5679","GROUP1 1"
"ILE     ","N       ","N       "," -0.4157","GROUP1 1"
"ILE     ","H       ","H       ","  0.2719","GROUP1 1"
"ILE     ","CA      ","CT      "," -0.0597","GROUP1 1"
"ILE     ","HA      ","H1      ","  0.0869","GROUP1 1"
"ILE     ","CB      ","CT      ","  0.1303","GROUP1 1"
"ILE     ","HB      ","HC      ","  0.0187","GROUP1 1"
"ILE     ","CG2     ","CT      "," -0.3204","GROUP1 1"
"ILE     ","HG21    ","HC      ","  0.0882","GROUP1 1"
"ILE     ","HG22    ","HC      ","  0.0882","GROUP1 1"
"ILE     ","HG23    ","HC      ","  0.0882","GROUP1 1"
"ILE     ","CG1     ","CT      "," -0.0430","GROUP1 1"
"ILE     ","HG12    ","HC      ","  0.0236","GROUP1 1"
"ILE     ","HG13    ","HC      ","  0.0236","GROUP1 1"
"ILE     ","CD1     ","CT      "," -0.0660","GROUP1 1"
"ILE     ","HD11    ","HC      ","  0.0186","GROUP1 1"
"ILE     ","HD12    ","HC      ","  0.0186","GROUP1 1"
"ILE     ","HD13    ","HC      ","  0.0186","GROUP1 1"
"ILE     ","C       ","C       ","  0.5973","GROUP1 1"
"ILE     ","O       ","O       "," -0.5679","GROUP1 1"
"VAL     ","N       ","N       "," -0.4157","GROUP1 1"
"VAL     ","H       ","H       ","  0.2719","GROUP1 1"
"VAL     ","CA      ","CT      "," -0.0875","GROUP1 1"
"VAL     ","HA      ","H1      ","  0.0969","GROUP1 1"
"VAL     ","CB      ","CT      ","  0.2985","GROUP1 1"
"VAL     ","HB      ","HC      "," -0.0297","GROUP1 1"
"VAL     ","CG1     ","CT      "," -0.3192","GROUP1 1"
"VAL     ","HG11    ","HC      ","  0.0791","GROUP1 1"
"VAL     ","HG12    ","HC      ","  0.0791","GROUP1 1"
"VAL     ","HG13    ","HC      ","  0.0791","GROUP1 1"
"VAL     ","CG2     ","CT      "," -0.3192","GROUP1 1"
"VAL     ","HG21    ","HC      ","  0.0791","GROUP1 1"
"VAL     ","HG22    ","HC      ","  0.0791","GROUP1 1"
"VAL     ","HG23    ","HC      ","  0.0791","GROUP1 1"
