"ALA     ","N       ","NH1     "," -0.4700","GROUP1 1"
"ALA     ","HN      ","H       ","  0.3100","GROUP0 1"
"ALA     ","CA      ","CT1     ","  0.0700","GROUP0 1"
"ALA     ","HA      ","HB      ","  0.0900","GROUP0 1"
"ALA     ","CB      ","CT3     "," -0.2700","GROUP1 2"
"ALA     ","HB1     ","HA      ","  0.0900","GROUP0 2"
"ALA     ","HB2     ","HA      ","  0.0900","GROUP0 2"
"ALA     ","HB3     ","HA      ","  0.0900","GROUP0 2"
"ALA     ","C       ","C       ","  0.5100","GROUP1 3"
"ALA     ","O       ","O       "," -0.5100","GROUP0 3"
"ARG     ","N       ","NH1     "," -0.4700","GROUP1 1"
"ARG     ","HN      ","H       ","  0.3100","GROUP0 1"
"ARG     ","CA      ","CT1     ","  0.0700","GROUP0 1"
"ARG     ","HA      ","HB      ","  0.0900","GROUP0 1"
"ARG     ","CB      ","CT2     "," -0.1800","GROUP1 2"
"ARG     ","HB1     ","HA      ","  0.0900","GROUP0 2"
"ARG     ","HB2     ","HA      ","  0.0900","GROUP0 2"
"ARG     ","CG      ","CT2     "," -0.1800","GROUP1 3"
"ARG     ","HG1     ","HA      ","  0.0900","GROUP0 3"
"ARG     ","HG2     ","HA      ","  0.0900","GROUP0 3"
"ARG     ","CD      ","CT2     ","  0.2000","GROUP1 4"
"ARG     ","HD1     ","HA      ","  0.0900","GROUP0 4"
"ARG     ","HD2     ","HA      ","  0.0900","GROUP0 4"
"ARG     ","NE      ","NC2     "," -0.7000","GROUP0 4"
"ARG     ","HE      ","HC      ","  0.4400","GROUP0 4"
"ARG     ","CZ      ","C       ","  0.6400","GROUP0 4"
"ARG     ","NH1     ","NC2     "," -0.8000","GROUP0 4"
"ARG     ","HH11    ","HC      ","  0.4600","GROUP0 4"
"ARG     ","HH12    ","HC      ","  0.4600","GROUP0 4"
"ARG     ","NH2     ","NC2     "," -0.8000","GROUP0 4"
"ARG     ","HH21    ","HC      ","  0.4600","GROUP0 4"
"ARG     ","HH22    ","HC      ","  0.4600","GROUP0 4"
"ARG     ","C       ","C       ","  0.5100","GROUP1 5"
"ARG     ","O       ","O       "," -0.5100","GROUP0 5"
"ASN     ","N       ","NH1     "," -0.4700","GROUP1 1"
"ASN     ","HN      ","H       ","  0.3100","GROUP0 1"
"ASN     ","CA      ","CT1     ","  0.0700","GROUP0 1"
"ASN     ","HA      ","HB      ","  0.0900","GROUP0 1"
"ASN     ","CB      ","CT2     "," -0.1800","GROUP1 2"
"ASN     ","HB1     ","HA      ","  0.0900","GROUP0 2"
"ASN     ","HB2     ","HA      ","  0.0900","GROUP0 2"
"ASN     ","CG      ","CC      ","  0.5500","GROUP1 3"
"ASN     ","OD1     ","O       "," -0.5500","GROUP0 3"
"ASN     ","ND2     ","NH2     "," -0.6200","GROUP1 4"
"ASN     ","HD21    ","H       ","  0.3200","GROUP0 4"
"ASN     ","HD22    ","H       ","  0.3000","GROUP0 4"
"ASN     ","C       ","C       ","  0.5100","GROUP1 5"
"ASN     ","O       ","O       "," -0.5100","GROUP0 5"
"ASP     ","N       ","NH1     "," -0.4700","GROUP1 1"
"ASP     ","HN      ","H       ","  0.3100","GROUP0 1"
"ASP     ","CA      ","CT1     ","  0.0700","GROUP0 1"
"ASP     ","HA      ","HB      ","  0.0900","GROUP0 1"
"ASP     ","CB      ","CT2     "," -0.2800","GROUP1 2"
"ASP     ","HB1     ","HA      ","  0.0900","GROUP0 2"
"ASP     ","HB2     ","HA      ","  0.0900","GROUP0 2"
"ASP     ","CG      ","CC      ","  0.6200","GROUP0 2"
"ASP     ","OD1     ","OC      "," -0.7600","GROUP0 2"
"ASP     ","OD2     ","OC      "," -0.7600","GROUP0 2"
"ASP     ","C       ","C       ","  0.5100","GROUP1 3"
"ASP     ","O       ","O       "," -0.5100","GROUP0 3"
"CYS     ","N       ","NH1     "," -0.4700","GROUP1 1"
"CYS     ","HN      ","H       ","  0.3100","GROUP0 1"
"CYS     ","CA      ","CT1     ","  0.0700","GROUP0 1"
"CYS     ","HA      ","HB      ","  0.0900","GROUP0 1"
"CYS     ","CB      ","CT2     "," -0.1100","GROUP1 2"
"CYS     ","HB1     ","HA      ","  0.0900","GROUP0 2"
"CYS     ","HB2     ","HA      ","  0.0900","GROUP0 2"
"CYS     ","SG      ","S       "," -0.2300","GROUP0 2"
"CYS     ","HG1     ","HS      ","  0.1600","GROUP0 2"
"CYS     ","C       ","C       ","  0.5100","GROUP1 3"
"CYS     ","O       ","O       "," -0.5100","GROUP0 3"
"GLN     ","N       ","NH1     "," -0.4700","GROUP1 1"
"GLN     ","HN      ","H       ","  0.3100","GROUP0 1"
"GLN     ","CA      ","CT1     ","  0.0700","GROUP0 1"
"GLN     ","HA      ","HB      ","  0.0900","GROUP0 1"
"GLN     ","CB      ","CT2     "," -0.1800","GROUP1 2"
"GLN     ","HB1     ","HA      ","  0.0900","GROUP0 2"
"GLN     ","HB2     ","HA      ","  0.0900","GROUP0 2"
"GLN     ","CG      ","CT2     "," -0.1800","GROUP1 3"
"GLN     ","HG1     ","HA      ","  0.0900","GROUP0 3"
"GLN     ","HG2     ","HA      ","  0.0900","GROUP0 3"
"GLN     ","CD      ","CC      ","  0.5500","GROUP1 4"
"GLN     ","OE1     ","O       "," -0.5500","GROUP0 4"
"GLN     ","NE2     ","NH2     "," -0.6200","GROUP1 5"
"GLN     ","HE21    ","H       ","  0.3200","GROUP0 5"
"GLN     ","HE22    ","H       ","  0.3000","GROUP0 5"
"GLN     ","C       ","C       ","  0.5100","GROUP1 6"
