"MAS     ","C1      ","CTL3    "," -0.1700"
"MAS     ","C       ","CL      ","  0.6300"
"MAS     ","OM      ","OSL     "," -0.3400"
"MAS     ","C2      ","CTL3    "," -0.1400"
"MAS     ","O       ","OBL     "," -0.5200"
"MAS     ","H11     ","HAL     ","  0.0900"
"MAS     ","H12     ","HAL     ","  0.0900"
"MAS     ","H13     ","HAL     ","  0.0900"
"MAS     ","H21     ","HAL     ","  0.0900"
"MAS     ","H22     ","HAL     ","  0.0900"
"MAS     ","H23     ","HAL     ","  0.0900"
"ETAC    ","C1      ","CTL3    "," -0.1700"
"ETAC    ","C       ","CL      ","  0.6300"
"ETAC    ","OM      ","OSL     "," -0.3400"
"ETAC    ","C2      ","CTL2    "," -0.0500"
"ETAC    ","O       ","OBL     "," -0.5200"
"ETAC    ","H11     ","HAL     ","  0.0900"
"ETAC    ","H12     ","HAL     ","  0.0900"
"ETAC    ","H13     ","HAL     ","  0.0900"
"ETAC    ","H22     ","HAL     ","  0.0900"
"ETAC    ","H23     ","HAL     ","  0.0900"
"ETAC    ","C21     ","CTL3    "," -0.2700"
"ETAC    ","H211    ","HAL     ","  0.0900"
"ETAC    ","H212    ","HAL     ","  0.0900"
"ETAC    ","H213    ","HAL     ","  0.0900"
"MPRO    ","C1      ","CTL2    "," -0.0800"
"MPRO    ","C       ","CL      ","  0.6300"
"MPRO    ","OM      ","OSL     "," -0.3400"
"MPRO    ","C2      ","CTL3    "," -0.1400"
"MPRO    ","O       ","OBL     "," -0.5200"
"MPRO    ","H12     ","HAL     ","  0.0900"
"MPRO    ","H13     ","HAL     ","  0.0900"
"MPRO    ","H21     ","HAL     ","  0.0900"
"MPRO    ","H22     ","HAL     ","  0.0900"
"MPRO    ","H23     ","HAL     ","  0.0900"
"MPRO    ","C11     ","CTL3    "," -0.2700"
"MPRO    ","H111    ","HAL     ","  0.0900"
"MPRO    ","H112    ","HAL     ","  0.0900"
"MPRO    ","H113    ","HAL     ","  0.0900"
"ACEH    ","C2      ","CTL3    "," -0.3000"
"ACEH    ","C1      ","CL      ","  0.7500"
"ACEH    ","H21     ","HAL     ","  0.0900"
"ACEH    ","H22     ","HAL     ","  0.0900"
"ACEH    ","H23     ","HAL     ","  0.0900"
"ACEH    ","O2      ","OBL     "," -0.5500"
"ACEH    ","O1      ","OHL     "," -0.6100"
"ACEH    ","HO1     ","HOL     ","  0.4400"
"DMPA    ","P1      ","PL      ","  1.5000"
"DMPA    ","O3      ","O2L     "," -0.8000"
"DMPA    ","O4      ","O2L     "," -0.8000"
"DMPA    ","O1      ","OSL     "," -0.5500"
"DMPA    ","O2      ","OSL     "," -0.5500"
"DMPA    ","C1      ","CTL3    "," -0.1700"
"DMPA    ","H11     ","HAL     ","  0.0900"
"DMPA    ","H12     ","HAL     ","  0.0900"
"DMPA    ","H13     ","HAL     ","  0.0900"
"DMPA    ","C2      ","CTL3    "," -0.1700"
"DMPA    ","H21     ","HAL     ","  0.0900"
"DMPA    ","H22     ","HAL     ","  0.0900"
"DMPA    ","H23     ","HAL     ","  0.0900"
"MP_1    ","P1      ","PL      ","  1.5000"
"MP_1    ","O3      ","O2L     "," -0.8200"
"MP_1    ","O4      ","O2L     "," -0.8200"
"MP_1    ","O1      ","OSL     "," -0.6200"
"MP_1    ","O2      ","OHL     "," -0.6800"
"MP_1    ","H2      ","HOL     ","  0.3400"
"MP_1    ","C1      ","CTL3    "," -0.1700"
"MP_1    ","H11     ","HAL     ","  0.0900"
"MP_1    ","H12     ","HAL     ","  0.0900"
"MP_1    ","H13     ","HAL     ","  0.0900"
"MP_2    ","P1      ","PL      ","  1.1000"
"MP_2    ","O1      ","OSL     "," -0.4000"
"MP_2    ","O2      ","O2L     "," -0.9000"
"MP_2    ","O3      ","O2L     "," -0.9000"
"MP_2    ","O4      ","O2L     "," -0.9000"
"MP_2    ","C1      ","CTL3    "," -0.2700"
"MP_2    ","H11     ","HAL     ","  0.0900"
"MP_2    ","H12     ","HAL     ","  0.0900"
"MP_2    ","H13     ","HAL     ","  0.0900"
" MSO    ","S       ","SL      ","  1.3300"
" MSO    ","OS1     ","OSL     "," -0.2800"
" MSO    ","OS2     ","O2L     "," -0.6500"
" MSO    ","OS3     ","O2L     "," -0.6500"
" MSO    ","OS4     ","O2L     "," -0.6500"
" MSO    ","C1      ","CTL3    "," -0.3700"
" MSO    ","H11     ","HAL     ","  0.0900"
" MSO    ","H12     ","HAL     ","  0.0900"
" MSO    ","H13     ","HAL     ","  0.0900"
"TIP3    ","OH2     ","OT      "," -0.8340"
"TIP3    ","H1      ","HT      ","  0.4170"
"TIP3    ","H2      ","HT      ","  0.4170"
"SOD     ","SOD     ","SOD     ","  1.0000"
"CL      ","CL1     ","CLA     "," -1.0000"
"MG      ","MG      ","MG      ","  2.0000"
"NC4     ","N       ","NTL     "," -0.6000"
"NC4     ","C1      ","CTL3    "," -0.3500"
"NC4     ","C2      ","CTL3    "," -0.3500"
"NC4     ","C3      ","CTL3    "," -0.3500"
"NC4     ","C4      ","CTL3    "," -0.3500"
"NC4     ","H11     ","HL      ","  0.2500"
"NC4     ","H12     ","HL      ","  0.2500"
"NC4     ","H13     ","HL      ","  0.2500"
"NC4     ","H21     ","HL      ","  0.2500"
"NC4     ","H22     ","HL      ","  0.2500"
"NC4     ","H23     ","HL      ","  0.2500"
"NC4     ","H31     ","HL      ","  0.2500"
"NC4     ","H32     ","HL      ","  0.2500"
"NC4     ","H33     ","HL      ","  0.2500"
"NC4     ","H41     ","HL      ","  0.2500"
"NC4     ","H42     ","HL      ","  0.2500"
"NC4     ","H43     ","HL      ","  0.2500"
